FECHA_CORTE;anio;idmes;mes;ubigeo;departamento;provincia;distrito;idmuseo;nombmuseo;tipo;vadulto;vestudiante;vnino;vadultom;militares;discapacitado;total
20240709;2022;1;Enero;10101;Amazonas;Chachapoyas;Chachapoyas;48;"Sala de Exhibición ""Gilberto Tenorio Ruiz""";Sala;27;1;12;1;0;0;41
20240709;2022;1;Enero;20101;Áncash;Huaraz;Huaraz;3;"Museo Arqueológico de Áncash ""Augusto Soriano Infante""";Museo;54;12;12;0;0;0;78
20240709;2022;1;Enero;21501;Áncash;Pallasca;Cabana;200;Museo Arqueológico Zonal de Cabana;Museo;0;0;0;0;0;0;0
20240709;2022;1;Enero;22006;Áncash;Yungay;Ranrahirca;54;Museo de Antropolgía, Arqueología e Historia Natural de Ranrahirca;Museo;0;0;0;0;0;0;0
20240709;2022;1;Enero;21004;Áncash;Huari;Chavin de Huántar;199;Museo Nacional Chavín ;Museo;492;30;48;33;0;0;603
20240709;2022;1;Enero;20801;Áncash;Casma;Casma;53;"Museo Regional de Casma ""Max Uhle""";Museo;61;15;22;5;0;0;103
20240709;2022;1;Enero;20105;Áncash;Huaraz;Independencia;51;Sala de Exhibición del Monumento Arqueológico Willkawaín ;Sala;88;44;42;0;0;0;174
20240709;2022;1;Enero;30101;Apurímac;Abancay;Abancay;56;Museo Arqueológico, Antropológico de Apurímac;Museo;6;1;2;6;0;0;15
20240709;2022;1;Enero;50108;Ayacucho;Huamanga;Quinua;62;Museo de Sitio de Quinua ;Museo;0;0;0;0;0;0;0
20240709;2022;1;Enero;50107;Ayacucho;Huamanga;Pacaycasa;59;Museo de Sitio Wari;Museo;281;33;48;17;0;0;379
20240709;2022;1;Enero;50101;Ayacucho;Huamanga;Ayacucho;63;"Museo Histórico Regional ""Hipólito Unanue""";Museo;36;28;12;0;0;0;76
20240709;2022;1;Enero;60101;Cajamarca;Cajamarca;Cajamarca;68;Museo Arqueológico y Etnográfico del Conjunto Monumental Belén ;Museo;760;240;219;148;0;0;1367
20240709;2022;1;Enero;80901;Cusco;La Covención;Santa Ana;201;Museo Amazónico Andino Qhapaq Ñan Quillabamba;Museo;12;5;0;0;0;0;17
20240709;2022;1;Enero;81101;Cusco;Paucartambo;Paucartambo;226;Museo de los Pueblos de Paucartambo;Museo;19;14;5;2;0;0;40
20240709;2022;1;Enero;81302;Cusco;Urubamba;Chinchero;93;Museo de Sitio de Chinchero;Museo;0;0;0;0;0;0;0
20240709;2022;1;Enero;81304;Cusco;Urubamba;Machupicchu;94;"Museo de Sitio ""Manuel Chávez Ballón""";Museo;76;7;0;0;0;0;83
20240709;2022;1;Enero;80101;Cusco;Cusco;Cusco;92;Museo Histórico Regional del Cusco;Museo;35;28;1;3;0;0;67
20240709;2022;1;Enero;81208;Cusco;Quispicanchi;Lucre;82;Sala de Exhibición de Pikillaqta;Sala;0;0;0;0;0;0;0
20240709;2022;1;Enero;90601;Huancavelica;Huaytará;Huaytará;19;"Museo Arqueológico ""Samuel Humberto Espinoza Lozano""";Museo;62;14;7;2;0;0;85
20240709;2022;1;Enero;90101;Huancavelica;Huancavelica;Huancavelica;18;"Museo Regional ""Daniel Hernández Morillo""";Museo;2;4;0;0;0;0;6
20240709;2022;1;Enero;100101;Huánuco;Huánuco;Huánuco;99;Sala de Exhibición de la Zona Arqueológica Monumental de Kotosh;Sala;182;36;74;0;0;0;292
20240709;2022;1;Enero;110505;Ica;Pisco;Paracas;111;"Museo de Sitio ""Julio C. Tello"" de Paracas ";Museo;157;77;60;49;0;0;343
20240709;2022;1;Enero;110101;Ica;Ica;Ica;20;"Museo Regional de Ica ""Adolfo Bermúdez Jenkins"" ";Museo;0;0;0;0;0;0;0
20240709;2022;1;Enero;110503;Ica;Pisco;Humay;21;"Sala de Exhibición del Sitio Arqueológico ""Tambo Colorado"" ";Sala;0;0;0;0;0;0;0
20240709;2022;1;Enero;120901;Junín;Chupaca;Chupaca;22;Museo Regional de Arqueología de Junín;Museo;54;15;43;5;0;0;117
