Reporte de Promedio Mensual de Visitas a Museos
------------------------------------------------------------------------------------------------------------------
| Año   | Mes   | Promedio Visitas |
| 2022  | 09   | 267.60           |
| 2022  | 01   | 164.11           |
| 2024  | 04   | 259.07           |
| 2022  | 23   | 0.00             |
| 2022  | 02   | 171.95           |
| 2024  | 03   | 292.56           |
| 2022  | 03   | 196.56           |
| 2024  | 06   | 319.04           |
| 2022  | 04   | 127.62           |
| 2024  | 05   | 292.65           |
| 2022  | 05   | 183.49           |
| 2022  | 06   | 212.38           |
| 2024  | 07   | 378.38           |
| 2022  | 07   | 220.29           |
| 2022  | 08   | 297.00           |
| 2023  | 10   | 399.31           |
| 2022  | 20   | 648.00           |
| 2023  | 11   | 378.85           |
| 2024  | 02   | 362.53           |
| 2022  | 21   | 91.00            |
| 2023  | 12   | 269.64           |
| 2024  | 01   | 326.53           |
| 2022  | 22   | 6.00             |
| 2022  | 12   | 155.02           |
| 2023  | 02   | 509.18           |
| 2023  | 03   | 323.91           |
| 2022  | 13   | 81.00            |
| 2023  | 04   | 222.60           |
| 2022  | 14   | 354.00           |
| 2023  | 05   | 233.65           |
| 2022  | 15   | 183.00           |
| 2023  | 06   | 287.60           |
| 2022  | 16   | 103.00           |
| 2023  | 07   | 412.53           |
| 2022  | 17   | 51.00            |
| 2023  | 08   | 418.44           |
| 2022  | 18   | 516.00           |
| 2023  | 09   | 457.11           |
| 2022  | 19   | 348.00           |
| 2022  | 10   | 69.31            |
| 2022  | 11   | 266.87           |
| 2023  | 01   | 130.67           |
------------------------------------------------------------------------------------------------------------------
